100,9
200,10
300,12
400,11
500,14
600,13
700,15
800,12
900,13
1000,15
1100,14
1200,14
1300,14
1400,16
1500,17
1600,13
1700,15
1800,14
1900,17
2000,16
2100,15
2200,15
2300,18
2400,15
2500,16
2600,15
2700,16
2800,17
2900,17
3000,18
3100,16
3200,14
3300,17
3400,16
3500,18
3600,15
3700,18
3800,18
3900,19
4000,17
4100,14
4200,16
4300,17
4400,16
4500,17
4600,19
4700,18
4800,16
4900,17
5000,17
5100,20
5200,16
5300,18
5400,17
5500,20
5600,18
5700,17
5800,18
5900,18
6000,19
6100,20
6200,17
6300,18
6400,15
6500,18
6600,18
6700,18
6800,17
6900,20
7000,19
7100,21
7200,16
7300,17
7400,19
7500,19
7600,19
7700,18
7800,20
7900,21
8000,18
8100,20
8200,15
8300,18
8400,17
8500,18
8600,18
8700,21
8800,17
8900,18
9000,18
9100,19
9200,20
9300,18
9400,19
9500,19
9600,17
9700,20
9800,18
9900,20
10000,18
10100,21
10200,21
10300,19
10400,17
10500,17
10600,19
10700,20
10800,18
10900,19
11000,21
11100,21
11200,19
11300,18
11400,18
11500,21
11600,19
11700,21
11800,19
11900,22
12000,20
12100,20
12200,21
12300,17
12400,18
12500,19
12600,19
12700,20
12800,16
12900,19
13000,19
13100,20
13200,19
13300,22
13400,19
13500,21
13600,18
13700,19
13800,21
13900,20
14000,20
14100,20
14200,22
14300,23
14400,17
14500,19
14600,18
14700,21
14800,20
14900,20
15000,20
15100,23
15200,20
15300,21
15400,19
15500,20
15600,21
15700,21
15800,22
15900,21
16000,19
16100,22
16200,21
16300,23
16400,16
16500,19
16600,19
16700,20
16800,18
16900,17
17000,19
17100,20
17200,19
17300,20
17400,22
17500,20
17600,18
17700,19
17800,19
17900,22
18000,19
18100,21
18200,20
18300,23
18400,21
18500,18
18600,19
18700,19
18800,20
18900,21
19000,20
19100,21
19200,18
19300,21
19400,21
19500,20
19600,19
19700,22
19800,21
19900,23
20000,19
20100,20
20200,22
20300,22
20400,22
20500,18
20600,20
20700,21
20800,18
20900,20
21000,18
21100,21
21200,20
21300,21
21400,21
21500,24
21600,19
21700,20
21800,20
21900,21
22000,22
22100,21
22200,22
22300,22
22400,20
22500,23
22600,19
22700,21
22800,19
22900,22
23000,22
23100,22
23200,20
23300,20
23400,22
23500,23
23600,20
23700,21
23800,23
23900,23
24000,21
24100,21
24200,21
24300,24
24400,22
24500,24
24600,18
24700,21
24800,19
24900,19
25000,20
25100,19
25200,20
25300,21
25400,21
25500,22
25600,17
25700,20
25800,20
25900,21
26000,20
26100,23
26200,21
26300,23
26400,20
26500,21
26600,23
26700,20
26800,20
26900,20
27000,22
27100,23
27200,19
27300,21
27400,20
27500,23
27600,22
27700,21
27800,21
27900,24
28000,21
28100,22
28200,21
28300,22
28400,23
28500,23
28600,24
28700,20
28800,18
28900,21
29000,20
29100,22
29200,19
29300,22
29400,22
29500,23
29600,21
29700,19
29800,21
29900,22
30000,21
30100,22
30200,24
30300,23
30400,21
30500,22
30600,22
